Date,Days since March 0,Non-OSU,OSU,Total
2014-03-06,6,0,0,0
2014-03-07,7,0,4,4
2014-03-10,10,0,3,3
2014-03-12,12,0,3,3
2014-03-17,17,0,4,4
2014-03-18,18,0,5,5
2014-03-19,19,0,4,4
2014-03-20,20,0,5,5
2014-03-24,24,18,8,26
2014-03-25,25,-1,7,6
2014-03-26,26,0,13,13
2014-03-27,27,0,5,5
2014-03-28,28,7,11,18
2014-03-31,31,0,8,8
2014-04-01,32,-1,4,3
2014-04-02,33,1,2,3
2014-04-03,34,0,4,4
2014-04-04,35,27,0,27
2014-04-08,39,9,4,13
2014-04-09,40,4,8,12
2014-04-10,41,5,9,14
2014-04-11,42,4,6,10
2014-04-14,45,7,6,13
2014-04-15,46,5,7,12
2014-04-16,47,0,3,6
2014-04-17,48,0,3,4
2014-04-18,49,8,6,10
2014-04-21,52,7,2,9
2014-04-22,53,3,7,10
2014-04-23,54,4,2,6
2014-04-24,55,4,0,4
2014-04-25,56,2,3,5
2014-04-28,59,2,7,9
2014-04-29,60,4,4,8
2014-04-30,61,1,3,4
2014-05-01,62,1,3,4
2014-05-02,63,5,1,6
2014-05-05,66,3,5,8
2014-05-06,67,1,3,4
2014-05-07,68,2,5,7
2014-05-08,69,3,2,5
2014-05-12,73,6,3,9
2014-05-14,75,8,3,11
2014-05-16,77,4,4,8
2014-05-19,80,3,2,5
2014-05-21,82,9,1,10
2014-05-23,84,7,5,12
2014-05-28,89,5,3,8
2014-06-02,94,2,6,8
2014-06-04,96,2,5,7
2014-06-09,101,4,2,6
2014-06-11,103,1,1,2
2014-06-16,108,4,4,8
2014-06-18,110,5,1,6
2014-06-25,117,6,5,11
2014-07-02,124,9,0,9
2014-07-09,131,3,1,4
2014-07-16,138,3,1,4
2014-07-23,145,1,4,5
2014-07-30,152,1,2,3
2014-08-06,159,3,1,4
2014-08-13,166,4,2,6
2014-08-20,173,2,0,2
2014-08-27,180,1,1,2
2014-09-17,201,1,0,1
2014-10-01,215,0,0,0
